City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.76,few clouds,-23.1203,-134.9692,People ThankYou
1,Atuona,PF,77.99,few clouds,-9.8,-139.0333,Villa Enata
5,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
6,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
17,Aklavik,CA,76.37,overcast clouds,68.2191,-135.0107,Aklavik Inn
18,Shiyan,CN,83.16,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
19,Beyneu,KZ,87.01,broken clouds,45.3167,55.2,NUR
20,Buraydah,SA,82.96,broken clouds,26.326,43.975,Mövenpick Qassim
21,Butaritari,KI,81.99,light rain,3.0707,172.7902,Isles Sunset Lodge
26,Victoria,HK,88.97,few clouds,22.2855,114.1577,Mini Central
29,Saryozek,KZ,81.63,overcast clouds,44.3583,77.9753,Gostinitsa
30,Natchitoches,US,82.38,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
34,Hithadhoo,MV,84.15,scattered clouds,-0.6,73.0833,Scoop Guest House
37,Riberalta,BO,77.58,overcast clouds,-10.9833,-66.1,Hotel Colonial
41,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
42,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
44,Dera Bugti,PK,84.49,clear sky,29.0307,69.151,Nawab Bugti House
45,Samarai,PG,78.64,moderate rain,-10.6167,150.6667,Nuli Sapi
47,Kavaratti,IN,82.09,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
50,Mae Hong Son,TH,84.31,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
59,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
61,Lucea,JM,76.86,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
62,Mancio Lima,BR,76.53,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
64,Verkhnevilyuysk,RU,81.82,overcast clouds,63.4453,120.3167,Gostinitsa Mila
71,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
77,Dingle,PH,86.5,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
78,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
81,Atar,MR,89.55,clear sky,20.5169,-13.0499,Oumou Elghoura
82,Gazli,UZ,85.8,clear sky,40.1333,63.45,
83,Lorengau,PG,83.05,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
86,Snyder,US,88.14,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
87,Benghazi,LY,75.13,clear sky,32.1167,20.0667,Tibesti Hotel
90,Thap Than,TH,87.85,overcast clouds,15.4606,99.8917,ขวัญเรือน ขำสุข
94,Sattahip,TH,80.69,thunderstorm with light rain,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
97,Hilo,US,83.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
107,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
116,Mareeba,AU,75.43,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
117,Sakakah,SA,75.34,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
119,Miri,MY,87.17,broken clouds,4.4148,114.0089,"Mega Hotel, Miri"
120,Prokopion,GR,80.02,scattered clouds,38.7333,23.4833,Candili
125,Ust-Maya,RU,83.89,clear sky,60.4167,134.5333,
126,Kavieng,PG,83.32,light rain,-2.5744,150.7967,Nusa Island Retreat
127,Sumenep,ID,85.05,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
128,Bengkulu,ID,80.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Clinton,US,75.22,scattered clouds,42.587,-82.9199,River's Edge
133,Namatanai,PG,84.63,light rain,-3.6667,152.4333,Seagulls Inn Namatani
137,Pathein,MM,77.68,overcast clouds,16.7833,94.7333,Pathein Hotel
141,Sola,VU,80.24,overcast clouds,-13.8833,167.55,Leumerus Bungalows
144,Honiara,SB,85.86,scattered clouds,-9.4333,159.95,Heritage Park Hotel
146,Corsicana,US,88.97,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
153,Bilma,NE,86.99,clear sky,18.6853,12.9164,Expeditions Ténére voyages
155,Hamilton,US,75.29,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
160,Bosaso,SO,88.81,overcast clouds,11.2842,49.1816,Red Sea Hotel
161,Nyurba,RU,82.38,overcast clouds,63.2842,118.3319,"Гостиница ""Comfort"""
163,Mission,US,85.21,clear sky,26.2159,-98.3253,"Holiday Inn Express & Suites Mission-McAllen Area, an IHG Hotel"
167,Mackay,AU,76.68,clear sky,-21.15,149.2,International Lodge Motel
172,Avera,US,84.54,clear sky,33.194,-82.5271,
182,Cabo San Lucas,MX,88.9,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
186,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
190,Shenzhen,CN,88.86,few clouds,22.5455,114.0683,Grand Skylight
191,Sibu,MY,81.0,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
194,Hovd,MN,77.2,clear sky,48.0056,91.6419,Hotel Khovd
195,Bubaque,GW,81.63,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Matamoros,MX,86.11,broken clouds,25.5333,-103.25,Quinta Belem
202,Denpasar,ID,83.86,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
207,Sabang,ID,80.98,overcast clouds,5.8933,95.3214,Hotel Citra
216,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
218,Kuliyapitiya,LK,79.99,overcast clouds,7.4688,80.0401,Rest House
219,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
