City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rikitea,PF,-23.1203,-134.9692,75.76,73,21,13.96,few clouds
1,Atuona,PF,-9.8,-139.0333,77.99,65,14,20.38,few clouds
2,Bambous Virieux,MU,-20.3428,57.7575,69.67,67,6,12.68,clear sky
3,Beira,MZ,-19.8436,34.8389,66.63,88,61,4.0,light rain
4,Ushuaia,AR,-54.8,-68.3,35.26,93,100,18.41,light rain
5,Georgetown,MY,5.4112,100.3354,82.89,85,20,3.44,few clouds
6,Kapaa,US,22.0752,-159.319,84.18,80,75,12.66,broken clouds
7,Northam,GB,51.0333,-4.2167,58.39,92,0,0.83,clear sky
8,Ust-Omchug,RU,61.15,149.6333,63.59,58,36,13.94,scattered clouds
9,Bluff,NZ,-46.6,168.3333,45.81,58,89,6.22,overcast clouds
10,Busselton,AU,-33.65,115.3333,58.32,92,100,9.86,light rain
11,Narsaq,GL,60.9167,-46.05,48.42,51,0,5.28,clear sky
12,Albany,US,42.6001,-73.9662,62.64,82,99,3.0,overcast clouds
13,Rorvik,NO,64.8621,11.2373,52.83,90,100,28.95,overcast clouds
14,Hobart,AU,-42.8794,147.3294,61.27,66,75,12.66,moderate rain
15,Dikson,RU,73.5069,80.5464,37.71,92,100,18.5,moderate rain
16,Nizhniy Tsasuchey,RU,50.5167,115.1333,74.5,39,89,10.8,overcast clouds
17,Aklavik,CA,68.2191,-135.0107,76.37,31,100,10.33,overcast clouds
18,Shiyan,CN,32.6475,110.7781,83.16,78,98,5.03,overcast clouds
19,Beyneu,KZ,45.3167,55.2,87.01,29,68,18.9,broken clouds
20,Buraydah,SA,26.326,43.975,82.96,17,70,8.99,broken clouds
21,Butaritari,KI,3.0707,172.7902,81.99,76,90,10.04,light rain
22,Cape Town,ZA,-33.9258,18.4232,60.12,94,40,3.44,mist
23,Bethel,US,41.3712,-73.414,61.65,96,92,2.51,overcast clouds
24,Leh,IN,34.1667,77.5833,54.07,45,71,4.29,broken clouds
25,Broome,US,42.2506,-75.833,65.89,84,100,11.5,overcast clouds
26,Victoria,HK,22.2855,114.1577,88.97,78,23,8.99,few clouds
27,Sudak,UA,44.85,34.9667,61.93,73,63,11.68,light rain
28,Shahr-E Kord,IR,32.3256,50.8644,66.79,24,0,6.44,clear sky
29,Saryozek,KZ,44.3583,77.9753,81.63,36,100,6.53,overcast clouds
30,Natchitoches,US,31.7668,-93.1335,82.38,69,0,0.0,clear sky
31,Nanortalik,GL,60.1432,-45.2371,40.55,80,0,16.96,clear sky
32,Svetlyy,RU,54.675,20.1347,52.97,83,2,1.36,clear sky
33,Calama,CL,-22.4667,-68.9333,46.89,23,0,6.91,clear sky
34,Hithadhoo,MV,-0.6,73.0833,84.15,68,45,9.71,scattered clouds
35,Noumea,NC,-22.2763,166.4572,73.99,99,100,8.57,light rain
36,Shelburne,CA,44.0787,-80.2041,62.11,65,0,13.89,clear sky
37,Riberalta,BO,-10.9833,-66.1,77.58,67,100,0.22,overcast clouds
38,Upernavik,GL,72.7868,-56.1549,34.16,85,100,10.69,overcast clouds
39,Codrington,AU,-38.2667,141.9667,60.37,65,100,18.3,overcast clouds
40,Port Alfred,ZA,-33.5906,26.891,62.96,69,89,5.7,overcast clouds
41,Alofi,NU,-19.0595,-169.9187,78.69,69,20,10.36,few clouds
42,Avarua,CK,-21.2078,-159.775,77.05,94,75,17.27,light rain
43,Jamestown,US,42.097,-79.2353,73.04,60,0,9.22,clear sky
44,Dera Bugti,PK,29.0307,69.151,84.49,41,0,3.98,clear sky
45,Samarai,PG,-10.6167,150.6667,78.64,86,99,15.79,moderate rain
46,Mataura,NZ,-46.1927,168.8643,45.48,62,88,1.5,overcast clouds
47,Kavaratti,IN,10.5669,72.642,82.09,80,100,18.81,overcast clouds
48,Punta Arenas,CL,-53.15,-70.9167,39.11,81,0,23.02,clear sky
49,Tuktoyaktuk,CA,69.4541,-133.0374,43.47,69,100,7.11,overcast clouds
50,Mae Hong Son,TH,19.3003,97.9685,84.31,66,100,2.84,overcast clouds
51,Esperance,AU,-33.8667,121.9,63.57,76,98,14.12,overcast clouds
52,Tasiilaq,GL,65.6145,-37.6368,33.96,81,17,5.44,few clouds
53,Saint-Joseph,RE,-21.3667,55.6167,62.98,81,95,14.43,light rain
54,Chokurdakh,RU,70.6333,147.9167,44.1,48,85,16.46,overcast clouds
55,Kisangani,CD,0.5167,25.2,69.21,98,80,0.29,broken clouds
56,Kirkenaer,NO,60.4564,12.0582,54.28,84,100,4.0,overcast clouds
57,Tiksi,RU,71.6872,128.8694,39.36,61,99,21.77,overcast clouds
58,Ulladulla,AU,-35.35,150.4667,62.76,50,100,0.85,overcast clouds
59,Hasaki,JP,35.7333,140.8333,79.29,86,97,9.93,overcast clouds
60,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,88,1.01,overcast clouds
61,Lucea,JM,18.451,-78.1736,76.86,80,83,8.9,broken clouds
62,Mancio Lima,BR,-7.6142,-72.8958,76.53,75,100,1.77,overcast clouds
63,Launceston,AU,-41.45,147.1667,56.84,90,75,23.02,light rain
64,Verkhnevilyuysk,RU,63.4453,120.3167,81.82,38,92,2.64,overcast clouds
65,Cherskiy,RU,68.75,161.3,50.76,80,100,10.18,light rain
66,Saint-Philippe,RE,-21.3585,55.7679,63.99,79,91,16.04,light rain
67,Clyde River,CA,70.4692,-68.5914,34.03,93,100,16.11,light snow
68,Paso De Los Toros,UY,-32.8167,-56.5167,44.1,94,100,12.93,overcast clouds
69,Port Hardy,CA,50.6996,-127.4199,52.97,76,9,15.21,clear sky
70,Lagoa,PT,39.05,-27.9833,64.02,83,100,13.27,overcast clouds
71,Vaini,TO,-21.2,-175.2,75.36,64,20,10.36,few clouds
72,Qaanaaq,GL,77.484,-69.3632,36.84,66,60,2.13,broken clouds
73,Suez,EG,29.9737,32.5263,70.47,73,0,5.55,clear sky
74,Lompoc,US,34.6391,-120.4579,62.56,95,0,10.36,mist
75,Iqaluit,CA,63.7506,-68.5145,38.7,69,100,5.01,overcast clouds
76,Carnarvon,AU,-24.8667,113.6333,71.28,61,0,10.42,clear sky
77,Dingle,PH,10.9995,122.6711,86.5,68,75,4.72,broken clouds
78,Kahului,US,20.8947,-156.47,84.22,61,40,20.71,scattered clouds
79,East London,ZA,-33.0153,27.9116,61.84,75,100,8.05,overcast clouds
80,Port Elizabeth,ZA,-33.918,25.5701,60.1,85,83,4.9,broken clouds
81,Atar,MR,20.5169,-13.0499,89.55,33,2,9.01,clear sky
82,Gazli,UZ,40.1333,63.45,85.8,21,0,9.55,clear sky
83,Lorengau,PG,-2.0226,147.2712,83.05,74,75,5.3,broken clouds
84,Ribeira Grande,PT,38.5167,-28.7,65.05,82,97,16.11,overcast clouds
85,Beysehir,TR,37.6773,31.7246,58.66,55,8,2.26,clear sky
86,Snyder,US,32.7179,-100.9176,88.14,25,0,5.75,clear sky
87,Benghazi,LY,32.1167,20.0667,75.13,75,0,8.46,clear sky
88,Bredasdorp,ZA,-34.5322,20.0403,56.89,92,100,8.7,overcast clouds
89,Ambilobe,MG,-13.2,49.05,61.07,79,2,4.85,clear sky
90,Thap Than,TH,15.4606,99.8917,87.85,54,100,3.38,overcast clouds
91,Nosy Varika,MG,-20.5833,48.5333,64.17,88,91,6.42,light rain
92,Mnogovershinnyy,RU,53.9353,139.9242,67.66,68,94,2.77,overcast clouds
93,Keffi,NG,8.8486,7.8736,71.4,96,100,4.21,light rain
94,Sattahip,TH,12.6664,100.9007,80.69,89,40,4.61,thunderstorm with light rain
95,Buenos Aires,AR,-34.6132,-58.3772,46.13,67,75,11.5,broken clouds
96,Chuy,UY,-33.6971,-53.4616,51.85,71,100,10.47,overcast clouds
97,Hilo,US,19.7297,-155.09,83.28,87,100,1.99,overcast clouds
98,Arraial Do Cabo,BR,-22.9661,-42.0278,69.85,89,0,18.99,clear sky
99,Kruisfontein,ZA,-34.0033,24.7314,57.88,60,88,6.69,overcast clouds
100,Oktyabrskiy,RU,54.4815,53.471,63.9,92,99,0.22,overcast clouds
101,Ponta Delgada,PT,37.7333,-25.6667,64.51,88,40,13.8,light intensity shower rain
102,Soubre,CI,5.7856,-6.6083,72.23,99,99,1.28,light rain
103,New Norfolk,AU,-42.7826,147.0587,60.93,79,100,5.99,moderate rain
104,Chumikan,RU,54.7183,135.315,42.93,97,100,3.09,overcast clouds
105,Kjollefjord,NO,70.9457,27.3465,50.05,71,0,14.97,clear sky
106,Novopokrovka,UA,49.8425,36.5477,53.73,83,91,0.83,overcast clouds
107,Padang,ID,-0.9492,100.3543,80.65,73,99,3.83,overcast clouds
108,Santa Fe,AR,-31.6333,-60.7,48.02,77,100,5.01,overcast clouds
109,Hirna,ET,9.2167,41.1,58.95,90,92,7.56,light rain
110,Hermanus,ZA,-34.4187,19.2345,59.81,86,98,11.65,light rain
111,Yellowknife,CA,62.456,-114.3525,69.57,28,4,8.01,clear sky
112,Bereda,ES,43.2686,-7.5406,56.14,100,98,1.99,overcast clouds
113,Banff,CA,51.1762,-115.5698,59.0,47,22,4.03,few clouds
114,Vao,NC,-22.6667,167.4833,71.47,69,100,14.92,overcast clouds
115,Vostok,RU,46.4856,135.8833,67.73,65,100,5.7,overcast clouds
116,Mareeba,AU,-17.0,145.4333,75.43,60,0,10.25,clear sky
117,Sakakah,SA,29.9697,40.2064,75.34,44,0,7.14,clear sky
118,Arroyo,ES,41.6096,-4.7969,58.14,75,20,4.61,few clouds
119,Miri,MY,4.4148,114.0089,87.17,60,61,2.3,broken clouds
120,Prokopion,GR,38.7333,23.4833,80.02,62,28,3.98,scattered clouds
121,Aberdeen,GB,57.1437,-2.0981,51.55,93,34,2.3,scattered clouds
122,Agirish,RU,61.9247,63.0231,65.14,87,67,5.1,broken clouds
123,San Quintin,MX,30.4833,-115.95,68.4,79,0,9.91,clear sky
124,Vanderhoof,CA,54.0166,-124.0198,53.91,49,70,9.42,broken clouds
125,Ust-Maya,RU,60.4167,134.5333,83.89,41,8,3.15,clear sky
126,Kavieng,PG,-2.5744,150.7967,83.32,72,100,4.32,light rain
