City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Terrace,CA,2022-06-13 22:34:15,54.5163,-128.6035,60.71,51,75,10.36
1,Faanui,PF,2022-06-13 22:34:16,-16.4833,-151.75,80.2,69,10,20.8
2,Armizonskoye,RU,2022-06-13 22:34:16,55.9461,67.6736,50.2,94,100,7.58
3,Longyearbyen,SJ,2022-06-13 22:34:17,78.2186,15.6401,40.84,70,75,3.44
4,Awjilah,LY,2022-06-13 22:34:17,29.1081,21.2869,75.16,52,0,13.87
5,Lebu,CL,2022-06-13 22:34:18,-37.6167,-73.65,50.43,91,100,10.11
6,Narsaq,GL,2022-06-13 22:34:18,60.9167,-46.05,52.02,42,0,15.43
7,Murud,IN,2022-06-13 22:34:20,18.3258,72.965,80.44,85,63,6.06
8,Port Alfred,ZA,2022-06-13 22:34:21,-33.5906,26.891,71.38,46,100,7.02
9,Mvuma,ZW,2022-06-13 22:34:22,-19.2792,30.5283,49.08,72,0,4.56
10,Gold Coast,AU,2022-06-13 22:34:22,-28.0,153.4333,62.19,92,74,6.91
11,Castro,BR,2022-06-13 22:34:22,-24.7911,-50.0119,44.78,80,0,3.51
12,Mataura,NZ,2022-06-13 22:34:23,-46.1927,168.8643,41.49,91,97,13.87
13,Kieta,PG,2022-06-13 22:34:24,-6.2167,155.6333,82.76,75,48,7.49
14,Punta Arenas,CL,2022-06-13 22:33:52,-53.15,-70.9167,42.91,75,0,6.91
15,Ponta Do Sol,PT,2022-06-13 22:34:25,32.6667,-17.1,70.0,69,49,6.62
16,Tasiilaq,GL,2022-06-13 22:34:26,65.6145,-37.6368,37.56,95,100,9.62
17,Birjand,IR,2022-06-13 22:34:26,32.8663,59.2211,75.67,20,0,16.11
18,Pingliang,CN,2022-06-13 22:34:27,35.5392,106.6861,65.86,31,0,4.12
19,Albany,US,2022-06-13 22:32:56,42.6001,-73.9662,77.18,44,2,1.01
20,Pacasmayo,PE,2022-06-13 22:34:28,-7.4006,-79.5714,64.27,80,11,12.21
21,Mar Del Plata,AR,2022-06-13 22:34:28,-38.0023,-57.5575,58.95,58,0,5.75
22,Goderich,CA,2022-06-13 22:30:06,43.7501,-81.7165,64.72,72,99,4.61
23,Itarema,BR,2022-06-13 22:34:29,-2.9248,-39.9167,78.26,78,3,12.84
24,Avarua,CK,2022-06-13 22:34:30,-21.2078,-159.775,80.65,69,98,8.05
25,Tuktoyaktuk,CA,2022-06-13 22:34:30,69.4541,-133.0374,37.4,81,20,13.8
26,Busselton,AU,2022-06-13 22:34:31,-33.65,115.3333,58.1,73,90,6.96
27,Sorong,ID,2022-06-13 22:34:31,-0.8833,131.25,77.94,85,41,4.85
28,Puerto Del Rosario,ES,2022-06-13 22:34:32,28.5004,-13.8627,71.35,73,0,13.8
29,Palmer,US,2022-06-13 22:34:33,42.1584,-72.3287,83.8,44,40,13.8
30,Ushuaia,AR,2022-06-13 22:29:41,-54.8,-68.3,42.46,70,40,14.97
31,Rassvet,RU,2022-06-13 22:34:34,46.8333,40.75,67.51,66,74,4.47
32,Atuona,PF,2022-06-13 22:34:34,-9.8,-139.0333,77.63,69,6,16.98
33,Yellowknife,CA,2022-06-13 22:34:35,62.456,-114.3525,70.32,40,40,12.66
34,Jamestown,US,2022-06-13 22:34:35,42.097,-79.2353,75.52,76,23,3.8
35,Bilma,NE,2022-06-13 22:34:36,18.6853,12.9164,92.61,14,0,10.09
36,Bredasdorp,ZA,2022-06-13 22:34:36,-34.5322,20.0403,55.31,77,100,9.53
37,Puerto Ayora,EC,2022-06-13 22:31:14,-0.7393,-90.3518,76.96,88,49,4.0
38,Dubovskoye,RU,2022-06-13 22:34:37,47.4092,42.7575,70.77,38,96,12.39
39,Hami,CN,2022-06-13 22:34:37,42.8,93.45,80.46,7,26,7.02
40,Sabha,LY,2022-06-13 22:34:38,27.0377,14.4283,80.15,23,39,9.64
41,Whithorn,JM,2022-06-13 22:34:38,18.2604,-78.0378,83.46,59,100,3.58
42,Provideniya,RU,2022-06-13 22:34:39,64.3833,-173.3,39.36,81,100,8.99
43,Rikitea,PF,2022-06-13 22:34:39,-23.1203,-134.9692,73.11,64,38,6.62
44,Luderitz,NA,2022-06-13 22:35:40,-26.6481,15.1594,58.84,91,66,14.27
45,Chapais,CA,2022-06-13 22:35:40,49.7834,-74.8492,62.38,70,84,8.03
46,Geraldton,AU,2022-06-13 22:35:41,-28.7667,114.6,55.81,82,75,11.5
47,Beidao,CN,2022-06-13 22:35:41,34.5686,105.8933,63.86,34,0,1.19
48,Brae,GB,2022-06-13 22:35:42,60.3964,-1.353,51.1,94,100,15.55
49,Westerland,DE,2022-06-13 22:35:42,54.9079,8.3033,55.42,67,100,14.97
50,Saint-Augustin,CA,2022-06-13 22:35:43,51.226,-58.6502,61.27,55,56,5.59
51,New Norfolk,AU,2022-06-13 22:35:43,-42.7826,147.0587,38.91,87,66,2.71
52,Yuksekova,TR,2022-06-13 22:35:44,37.5736,44.2872,53.35,58,20,2.3
53,Sur,OM,2022-06-13 22:35:44,22.5667,59.5289,82.74,78,0,11.23
54,Hobart,AU,2022-06-13 22:35:45,-42.8794,147.3294,39.27,92,75,5.75
55,Laguna,US,2022-06-13 22:35:47,38.421,-121.4238,86.29,17,0,13.8
56,Cidreira,BR,2022-06-13 22:35:47,-30.1811,-50.2056,58.21,86,97,3.06
57,Hermanus,ZA,2022-06-13 22:35:48,-34.4187,19.2345,53.8,78,100,14.81
58,Buchanan,LR,2022-06-13 22:35:48,5.8808,-10.0467,78.13,77,56,9.1
59,Bambous Virieux,MU,2022-06-13 22:35:49,-20.3428,57.7575,73.65,64,40,16.11
60,Lhokseumawe,ID,2022-06-13 22:35:50,5.1801,97.1507,76.5,88,95,4.29
61,Thompson,CA,2022-06-13 22:35:51,55.7435,-97.8558,80.76,24,40,12.66
62,Bluff,NZ,2022-06-13 22:35:51,-46.6,168.3333,41.81,67,100,38.07
63,Hadrut,AZ,2022-06-13 22:35:52,39.52,47.0318,63.27,86,0,4.68
64,Namibe,AO,2022-06-13 22:35:52,-15.1961,12.1522,66.22,66,0,7.94
65,Deputatskiy,RU,2022-06-13 22:35:53,69.3,139.9,56.52,48,95,4.88
66,Karachi,PK,2022-06-13 22:32:37,24.9056,67.0822,84.02,84,40,9.22
67,Gustavo Diaz Ordaz,MX,2022-06-13 22:35:54,26.2333,-98.5833,91.29,64,98,4.0
68,Lesnikovo,RU,2022-06-13 22:35:54,55.2822,65.3175,52.0,96,100,5.95
69,Te Anau,NZ,2022-06-13 22:35:55,-45.4167,167.7167,41.14,81,87,12.35
70,Lazaro Cardenas,MX,2022-06-13 22:34:56,17.9583,-102.2,84.79,68,78,12.48
71,Chuguyevka,RU,2022-06-13 22:35:56,44.1653,133.8633,63.84,54,95,2.21
72,Nuuk,GL,2022-06-13 22:35:56,64.1835,-51.7216,38.01,75,75,9.22
73,Port Keats,AU,2022-06-13 22:35:57,-14.25,129.55,65.8,29,15,10.49
74,Johvi,EE,2022-06-13 22:35:57,59.3592,27.4211,50.76,91,73,0.58
75,Hithadhoo,MV,2022-06-13 22:35:57,-0.6,73.0833,83.14,72,55,7.9
76,Qaanaaq,GL,2022-06-13 22:35:58,77.484,-69.3632,28.94,77,43,2.82
77,Pingyin,CN,2022-06-13 22:35:58,36.2831,116.4453,71.38,60,95,4.09
78,Vaini,TO,2022-06-13 22:35:59,-21.2,-175.2,80.76,78,20,5.75
79,Haines Junction,CA,2022-06-13 22:36:00,60.7522,-137.5108,57.15,58,100,2.3
80,Cape Town,ZA,2022-06-13 22:31:22,-33.9258,18.4232,55.27,92,100,12.66
81,Santa Rosa,PH,2022-06-13 22:31:10,14.3122,121.1114,82.02,90,99,4.34
82,Ribeira Grande,PT,2022-06-13 22:36:01,38.5167,-28.7,63.41,80,42,11.65
83,Guayaramerin,BO,2022-06-13 22:36:02,-10.8368,-65.3614,66.25,66,45,3.49
84,Saint-Philippe,RE,2022-06-13 22:36:03,-21.3585,55.7679,67.59,77,53,14.36
85,Upernavik,GL,2022-06-13 22:36:03,72.7868,-56.1549,31.89,82,80,7.31
86,Arraial Do Cabo,BR,2022-06-13 22:36:04,-22.9661,-42.0278,66.06,88,75,19.57
87,Kodiak,US,2022-06-13 22:36:04,57.79,-152.4072,51.31,71,100,6.91
88,Arak,IR,2022-06-13 22:36:05,34.0917,49.6892,68.14,23,0,5.77
89,Mehamn,NO,2022-06-13 22:36:05,71.0357,27.8492,42.75,87,75,4.61
90,Yulara,AU,2022-06-13 22:36:06,-25.2406,130.9889,55.98,40,0,2.06
91,Shuyskoye,RU,2022-06-13 22:36:07,59.3736,41.0305,54.25,98,99,2.21
92,Yar-Sale,RU,2022-06-13 22:37:07,66.8333,70.8333,42.49,81,99,17.11
93,Saskylakh,RU,2022-06-13 22:37:08,71.9167,114.0833,65.86,37,100,3.06
94,Komsomolskiy,UZ,2022-06-13 22:37:10,40.4272,71.7189,66.92,52,1,2.3
95,Yuli,NG,2022-06-13 22:37:10,9.6989,10.2744,80.62,66,89,4.97
96,Kavieng,PG,2022-06-13 22:37:11,-2.5744,150.7967,84.2,69,21,13.98
